productID,productName,categoryName,supplierName,unitsInStock,reorderLevel,unitsOnOrder
31,"Gorgonzola Telino","Dairy Products","Formaggi Fortini s.r.l.",0,20,70
21,"Sir Rodney's Scones",Confections,"Specialty Biscuits",3,5,40
66,"Louisiana Hot Spiced Okra",Condiments,"New Orleans Cajun Delights",4,20,100
74,"Longlife Tofu",Produce,"Tokyo Traders",4,5,20
45,"Rogede sild",Seafood,Lyngbysild,5,15,70
8,"Northwoods Cranberry Sauce",Condiments,"Grandma Kelly's Homestead",6,0,0
68,"Scottish Longbreads",Confections,"Specialty Biscuits",6,15,10
32,"Mascarpone Fabioli","Dairy Products","Formaggi Fortini s.r.l.",9,25,40
30,"Nord-Ost Matjeshering",Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH",10,15,0
49,Maxilaku,Confections,"Karkki Oy",10,15,60
37,"Gravad lax",Seafood,"Svensk Sjofoda AB",11,25,50
3,"Aniseed Syrup",Condiments,"Exotic Liquids",13,25,70
72,"Mozzarella di Giovanni","Dairy Products","Formaggi Fortini s.r.l.",14,0,0
7,"Uncle Bob's Organic Dried Pears",Produce,"Grandma Kelly's Homestead",15,10,0
26,"Gumbar Gummibarchen",Confections,"Heli Susswaren GmbH & Co. KG",15,0,0
48,Chocolade,Confections,"Zaanse Snoepfabriek",15,25,70
70,"Outback Lager",Beverages,Pavlova,15,30,10
2,Chang,Beverages,"Exotic Liquids",17,25,40
38,"Cote de Blaye",Beverages,"Aux joyeux ecclesiastiques",17,15,0
43,"Ipoh Coffee",Beverages,"Leka Trading",17,25,10
62,"Tarte au sucre",Confections,"Forets d'erables",17,0,0
60,"Camembert Pierrot","Dairy Products","Gai paturage",19,0,0
